"","source","Acronym","Meaning","Definition","meaning_lower","n","duplicated_ac","duplicated_mean"
"673",NA,"SAW","Stock Assessment Workshop",NA,"stock assessment workshop",NA,NA,NA
"674","ASMFC","SAW/SARC","The Northeast Regional Stock Assessment Workshop and Stock Assessment Review Committee, respectively","The SAW is a formal scientific peer-review process for evaluating and presenting stock assessment results to managers for fish stocks of the Northwest Atlantic. Assessments are prepared by SAW working groups and reviewed by an independent panel of stock assessment experts called the SARC.","the northeast regional stock assessment workshop and stock assessment review committee, respectively",NA,NA,NA
"675",NA,"SB","Spawning Biomass",NA,"spawning biomass",NA,NA,NA
"676",NA,"SBA","Small Business Act",NA,"small business act",2,"Y",NA
"677",NA,"SBA","Small Business Administration",NA,"small business administration",2,"Y",NA
"678",NA,"SBMSY","Spawning Biomass at MSY",NA,"spawning biomass at msy",NA,NA,NA
"679",NA,"SBRM","Standard Bycatch Reporting Methodology",NA,"standard bycatch reporting methodology",NA,NA,NA
"680",NA,"SC","Standing Committee of the Western and Central Pacific Fisheries Commission",NA,"standing committee of the western and central pacific fisheries commission",NA,NA,NA
"681","ASMFC","SCA","Statistical catch at age","Age-based stock assessment methods utilizing catch-at-age data to derive estimates of population size and fishing mortality. However, unlike VPA, SCAA model parameters are estimated by working forward in time, rather than backwards as is done in VPA analysis.","statistical catch at age",NA,NA,NA
"682",NA,"SCDNR","South Carolina Department of Natural Resources",NA,"south carolina department of natural resources",NA,NA,NA
"683","ASMFC","SCS","Small coastal shark complex","A shark species grouping that includes Atlantic sharpnose, finetooth and bonnethead sharks.","small coastal shark complex",NA,NA,NA
"684",NA,"SDC","status determination criteria",NA,"status determination criteria",NA,NA,NA
"685","ASMFC","SEAMAP","Southeast Area Monitoring and Assessment Program","A cooperative state, federal, and university program for the collection, management, and dissemination of fishery-independent data and information in the Southeastern US and Caribbean.","southeast area monitoring and assessment program",NA,NA,NA
"686",NA,"SECOORA","Southeast Coastal Ocean Observing Regional Association",NA,"southeast coastal ocean observing regional association",NA,NA,NA
"687","ASMFC","SEDAR","Southeast Data, Assessment, and Review","The stock assessment peer- review process used by the South Atlantic, Gulf of Mexico, and Caribbean Fishery Management Councils, and the ASMFC to improve the quality and reliability of fishery stock assessments in the US Southeast.","southeast data, assessment, and review",2,"Y","Y"
"688","GMFMC","SEDAR","Southeast Data, Assessment, and Review","a cooperative process among the Southeast Regional Fishery Management Councils, NOAA Fisheries and the Interstate Fisheries Commissions with the goal to improve the quality and reliability of fishery resource assessments within the southeastern U.S.","southeast data, assessment, and review",2,"Y","Y"
"689","ASMFC","SEFSC","Southeast Fisheries Science Center","NMFS' fisheries research and science arms.","southeast fisheries science center",2,"Y","Y"
"690","GMFMC","SEFSC","Southeast Fisheries Science Center","headquartered in Miami, the Center conducts a variety of research to inform marine resource management in the Gulf of Mexico, Caribbean and South Atlantic.","southeast fisheries science center",2,"Y","Y"
"691",NA,"SEG","Sustainable escapement goal",NA,"sustainable escapement goal",NA,NA,NA
"692","GMFMC","SEIS","supplemental environmental impact statement","reviews the results of an existing environmental impact statement by considering new or additional environmental impacts","supplemental environmental impact statement",NA,NA,NA
"693","GMFMC","SEP","Socioeconomic Panel","panel of members within the scientific and statistical committees who are knowledgeable about the social and economic aspects of Gulf of Mexico fisheries","socioeconomic panel",NA,NA,NA
"694",NA,"SERFS","Southeast Reef Fish Survey",NA,"southeast reef fish survey",NA,NA,NA
"695","GMFMC","SERO","Southeast Regional Office","Office located in St. Petersburg, Florida, operating under NOAA Fisheries, works with scientists and fisheries managers to safeguard sustainable fishing practices, protect endangered species and marine mammals and conserve marine habitats","southeast regional office",NA,NA,NA
"696","GMFMC","SESSC","Socioeconomic Scientific and Statistical Committee","panel of members within the scientific and statistical committees who are knowledgeable about the social and economic aspects of Gulf of Mexico fisheries","socioeconomic scientific and statistical committee",NA,NA,NA
"697",NA,"SET","Sustainable escapement threshold",NA,"sustainable escapement threshold",NA,NA,NA
"698",NA,"SEZ","Southern Exclusion Zone, Hawaii",NA,"southern exclusion zone, hawaii",NA,NA,NA
"699","GMFMC","SFA","Sustainable Fisheries Act","amendment to the Magnuson-Stevens Fishery Conservation and Management Act to bolster requirements to prevent overfishing, set standards for fishery management plans to specify measures for stock status determinations, added three new national standards to address fishery concerns, and introduced habitat as integral to fisheries management","sustainable fisheries act",2,"Y",NA
"700",NA,"SFA","Saipan Fishermen's Association",NA,"saipan fishermen's association",2,"Y",NA
"701",NA,"SFD","Sustainable Fisheries Division, NMFS PIRO",NA,"sustainable fisheries division, nmfs piro",NA,NA,NA
"702",NA,"SFM","Shortfin Mako shark",NA,"shortfin mako shark",NA,NA,NA
"703",NA,"SFO","Sustainable Fisheries Office (NMFS)",NA,"sustainable fisheries office (nmfs)",NA,NA,NA
"704",NA,"SFTFA","St. Thomas Fishermen's Association",NA,"st. thomas fishermen's association",NA,NA,NA
"705",NA,"SG","Snapper grouper",NA,"snapper grouper",NA,NA,NA
"706",NA,"SHARKWG","Shark Working Group, ISC",NA,"shark working group, isc",NA,NA,NA
"707","GMFMC","SIA","Social Impact Assessment","similar to environmental impact assessments, it is a method of assessing cultural and social impacts from alternative fishery management actions or policies","social impact assessment",2,"Y",NA
"708",NA,"SIA","Social impact analysis",NA,"social impact analysis",2,"Y",NA
"709",NA,"SIR","Supplemental Information Report",NA,"supplemental information report",NA,NA,NA
"710",NA,"SMAST","School for Marine Science and Technology (New Bedford, Maine)",NA,"school for marine science and technology (new bedford, maine)",NA,NA,NA
"711",NA,"SMBKC","St. Matthews Blue King Crab",NA,"st. matthews blue king crab",NA,NA,NA
"712",NA,"SMP","System Management Plan (for protected areas)",NA,"system management plan (for protected areas)",NA,NA,NA
"713","GMFMC","SMZ","special management zone","designation of an area within artificial reef sites that prohibits the use of some fishing gear to prevent overexploitation of species but acts as an incentive to increase fish populations in an area and/or fishing opportunities that did not previously exist","special management zone",NA,NA,NA
"714","ASMFC","SNE","Southern New England","Used to describe a population segment of the American lobster resource.","southern new england",NA,NA,NA
"715","ASMFC","SNE/MA","Southern New England/Mid-Atlantic","Used to describe a population segment of the winter flounder resource.","southern new england/mid-atlantic",NA,NA,NA
"716",NA,"SNEMA","Southern New England and Mid-Atlantic Bight",NA,"southern new england and mid-atlantic bight",NA,NA,NA
"717",NA,"SNP","Single nucleotide polymorphism",NA,"single nucleotide polymorphism",NA,NA,NA
"718","GMFMC","SOFI","Statement of Financial Interest","a form asking questions pertaining to financial interests and disclosures given to voting members of regional fishery management councils, SSC members and Council staff as required by the Magnuson-Stevens Act. The purpose of the report is to assist the involved parties with avoiding conflicts between official duties and private financial interests or affiliations","statement of financial interest",NA,NA,NA
"719","GMFMC","SOI","#VALUE!","Statistics of income","#value!",NA,NA,NA
"720",NA,"SONCC","Southern Oregon Northern California coastal coho (an evolutionarily significant unit)",NA,"southern oregon northern california coastal coho (an evolutionarily significant unit)",NA,NA,NA
"721",NA,"SONCCWG","Ad Hoc Southern Oregon Northern California Coast Coho Workgroup",NA,"ad hoc southern oregon northern california coast coho workgroup",NA,NA,NA
"722",NA,"SOPP","Statement of Organization, Practices, and Procedures",NA,"statement of organization, practices, and procedures",NA,NA,NA
"723","GMFMC","SOW","statement of work","a project management document that describes step-wise, the project's work requirements including deliverables, methods and timelines","statement of work",NA,NA,NA
"724","GMFMC","SPA","sanctuary preservation area","a distinct biologically important area that helps sustain critical marine species and habitats.","sanctuary preservation area",NA,NA,NA
"725","WPFMC","SPC","Secretariat of the Pacific Community","A technical assistance organization comprising the independent island states of the tropical Pacific Ocean, dependent territories and the metropolitan countries of Australia, New Zealand, USA, and France; now Pacific Community","secretariat of the pacific community",NA,NA,NA
"726",NA,"SPLASH","Structure of Populations, Levels of Abundance, and Status of Humpbacks",NA,"structure of populations, levels of abundance, and status of humpbacks",NA,NA,NA
"727","ASMFC","SPR","Spawning potential ratio","A biological index used to assess red drum stock status.","spawning potential ratio",5,"Y",NA
"728","GMFMC","SPR","spawning potential ratio","the ratio of the number of eggs that could be produced by a fish over its lifetime that has recruited to a fishery, over the number of eggs that could be produced by an average fish in a stock that is unfished","spawning potential ratio",5,"Y",NA
"729","PFMC","SPR","Spawning potential ratio","The ratio of spawning potential per recruit under a given fishing regime, relative to the spawning potential per recruit with no fishing.","spawning potential ratio",5,"Y",NA
"730","WPFMC","SPR","Spawning Potential Ratio","A method to measure the effects of fishing pressure on a stock by expressing the spawning potential of the fished biomass as a percentage of the unfished virgin spawning biomass. Stocks are deemed to be overfished when the SPR<20%.","spawning potential ratio",5,"Y",NA
"731",NA,"SPR","Spawning biomass per recruit",NA,"spawning biomass per recruit",5,"Y",NA
"732","GMFMC","SRD","Science and Research Director","the director of NOAA's different regional Fisheries Science Centers","science and research director",NA,NA,NA
"733",NA,"SRFC","Sacramento River fall Chinook",NA,"sacramento river fall chinook",NA,NA,NA
"734","GMFMC","SRFS","State Reef Fish Survey","Florida's supplemental reef fish survey for certain species that replaced the GRFS survey in July of 2020","state reef fish survey",NA,NA,NA
"735","GMFMC","SRHS","Southeast Region Headboat Survey","a federal data collection program that collects fisheries dependent data such as lengths, weights and sex from fish caught on headboat trips. The survey collects data from vessels throughout the southeast region.","southeast region headboat survey",NA,NA,NA
"736",NA,"SRI","Sacramento River index",NA,"sacramento river index",NA,NA,NA
"737",NA,"SRKW","Southern resident killer whales",NA,"southern resident killer whales",NA,NA,NA
"738",NA,"SRKWWG","Ad Hoc Southern Resident Killer Whale Workgroup",NA,"ad hoc southern resident killer whale workgroup",NA,NA,NA
"739","ASMFC","SRT","Status Review Team","Used as part of the Endangered Species Act listing process.","status review team",NA,NA,NA
"740","GMFMC","SS","stock synthesis","an age-structured population dynamics model that is used to assess the impacts of fisheries on stocks while also accounting for environmental impacts or stressors.","stock synthesis",NA,NA,NA
"741","ASMFC","SSB","Spawning stock biomass","The total weight of the mature females within a stock of fish; frequently used instead of total biomass as a better measure of the ability of a stock to replenish itself.","spawning stock biomass",2,"Y","Y"
"742","GMFMC","SSB","spawning stock biomass","the total weight of all the fish in a stock that are old enough to reproduce, usually considered to be all fish beyond a certain age or size in which 50% of the individuals are sexually mature.","spawning stock biomass",2,"Y","Y"
"743",NA,"SSBMSY","Spawning Stock Biomass at MSY",NA,"spawning stock biomass at msy",NA,NA,NA
"744",NA,"SSBMSY proxy","proxy value for spawning stock biomass estimation for maximum sustainable yield",NA,"proxy value for spawning stock biomass estimation for maximum sustainable yield",NA,NA,NA
"745","GMFMC","SSBR","spawning stock biomass per recruit","an estimate of the lifetime reproductive potential of an average recruit. Important for examining the population growth potential of a stock","spawning stock biomass per recruit",NA,NA,NA
"746",NA,"SSBTarget","theoretically ideal spawning stock biomass level",NA,"theoretically ideal spawning stock biomass level",NA,NA,NA
"747",NA,"SSBThreshold","threshold for spawning stock biomass that indicates overfished status",NA,"threshold for spawning stock biomass that indicates overfished status",NA,NA,NA
"748",NA,"SSBproxy","proxy value for spawning stock biomass estimate",NA,"proxy value for spawning stock biomass estimate",NA,NA,NA
"749","ASMFC","SSC","Scientific and Statistical Committee","An advisory committee of a regional fishery management council composed of scientists, economists, and other technical experts that assist in gathering and analyzing statistical, biological, ecological, economic, social, and other scientific information that is relevant to the management of council fisheries.","scientific and statistical committee",3,"Y","Y"
"750","GMFMC","SSC","Scientific and Statistical Committee","a committee composed of scientists in the fields of biology, statistics, economics, the environment and social science. The committee makes recommendations to the Regional Councils on assessments and other technical matters leading to more informed fishery management decisions.","scientific and statistical committee",3,"Y","Y"
"751","WPFMC","SSC","Scientific and Statistical Committee","An advisory body to the Council comprising experts in fisheries, marine biology, oceanography, etc.","scientific and statistical committee",3,"Y","Y"
"752",NA,"SSFP","Sustainable Salmon Fisheries Policy",NA,"sustainable salmon fisheries policy",NA,NA,NA
"753",NA,"SSL","Steller sea lion",NA,"steller sea lion",NA,NA,NA
"754",NA,"SSMZ","Spawning Special Management Zones",NA,"spawning special management zones",NA,NA,NA
"755",NA,"SST","Sea surface temperature",NA,"sea surface temperature",NA,NA,NA
"756",NA,"STAR","Stock assessment review",NA,"stock assessment review",NA,NA,NA
"757","PFMC","STAR Panel","Stock Assessment Review Panel","A panel set up to review stock assessments for particular fisheries. In the past there have been STAR panels for sablefish, rockfish, squid, and other species.","stock assessment review panel",NA,NA,NA
"758",NA,"STD","Standard Deviation",NA,"standard deviation",NA,NA,NA
"759",NA,"STDN","Sea Turtle Disentanglement Network",NA,"sea turtle disentanglement network",NA,NA,NA
"760",NA,"STF","Subtropical Front",NA,"subtropical front",NA,NA,NA
"761",NA,"STJ","St. Johns, U.S. Virgin Islands",NA,"st. johns, u.s. virgin islands",NA,NA,NA
"762",NA,"STT","Salmon Technical Team",NA,"salmon technical team",2,"Y",NA
"763",NA,"STT","St. Thomas, U.S. Virgin Islands",NA,"st. thomas, u.s. virgin islands",2,"Y",NA
"764",NA,"STX","St. Croix, U.S. Virgin Islands",NA,"st. croix, u.s. virgin islands",NA,NA,NA
"765",NA,"SUNY","State University of New York",NA,"state university of new york",NA,NA,NA
"766",NA,"SURVEYMEANS","SAS procedure for estimating characteristics of a survey population using statistics computed from a survey sample",NA,"sas procedure for estimating characteristics of a survey population using statistics computed from a survey sample",NA,NA,NA
"767",NA,"SW","Southwest",NA,"southwest",NA,NA,NA
"768",NA,"SWAC","Seawater Air Conditioning",NA,"seawater air conditioning",NA,NA,NA
"769",NA,"SWFSC","Southwest Fisheries Science Center (NMFS)",NA,"southwest fisheries science center (nmfs)",NA,NA,NA
"770","GMFMC","SWG","shallow-water grouper","complex of grouper species managed in the Gulf of Mexico by the Gulf Council and NOAA Fisheries. Includes red grouper, black grouper, gag, scamp, yellowfin grouper, yellowmouth grouper, rock hind and red hind","shallow-water grouper",2,"Y",NA
"771",NA,"SWG","Spatial Working Group",NA,"spatial working group",2,"Y",NA
"772",NA,"SWO","Swordfish",NA,"swordfish",NA,NA,NA
"773",NA,"SWR","Southwest Region",NA,"southwest region",NA,NA,NA
"774",NA,"Secretary","U.S. Secretary of Commerce",NA,"u.s. secretary of commerce",NA,NA,NA
"775","GMFMC","SoVI","social vulnerability index","14 indices that measure a coastal community's ability to respond to social, economic and environmental conditions, a useful tool for policy makers, fishery managers and interested stakeholders","social vulnerability index",NA,NA,NA
"776",NA,"TA","Total Alkalinity",NA,"total alkalinity",NA,NA,NA
"777","ASMFC","TAC","Total Allowable Catch","The annual recommended catch by a management authority to preserve or rebuild a stock.","total allowable catch",3,"Y","Y"
"778","GMFMC","TAC","total allowable catch","a catch limit set for a specific fishery within a set period of time, usually a year or a fishing season","total allowable catch",3,"Y","Y"
"779","PFMC","TAC","Total allowable catch","The total regulated catch from a stock in a given time period, usually a year. (NMFS)","total allowable catch",3,"Y","Y"
"780","ASMFC","TAL","Total Allowable Landings","The annual recommended catch by a management authority to preserve or rebuild a stock.","total allowable landings",NA,NA,NA
"781","ASMFC","TC","Technical Committee","A group of persons who are expert in the scientific and technical matters relating to a specific fish stock and who are appointed and convened by a Management Board to provide scientific and technical advice in the process of developing and monitoring FMPs and amendments.","technical committee",NA,NA,NA
"782","GMFMC","TED","turtle excluder device","a specialized device, often used in the shrimp fishery, applied to trawl nets that allows a captured sea turtle to escape when caught.","turtle excluder device",NA,NA,NA
"783","GMFMC","TIP","Trip Interview Program","data collected by port samplers from commercial fishermen, includes length, weight, number of fish landed, gear used and trip identifiers such as date and location","trip interview program",NA,NA,NA
"784",NA,"TK","Traditional Knowledge",NA,"traditional knowledge",NA,NA,NA
"785","GMFMC","TL","total length","the maximum length from mouth to tail. For example, when measuring a fish, thetotal length extends from the front of the snout with the mouth closed to the end of the longest portionof the tail fin. Some agencies compress or squeeze the tail to get this measurement.","total length",NA,NA,NA
"786",NA,"TLA","Trawl Limited Access",NA,"trawl limited access",NA,NA,NA
"787",NA,"TLAS","Trawl Limited Access Sector",NA,"trawl limited access sector",NA,NA,NA
"788","GMFMC","TLR","trip limit reduction","a reduction in the number or pounds of a species that can be harvested per trip","trip limit reduction",NA,NA,NA
"789","PFMC","TMAX",NA,"The maximum time period to rebuild an overfished stock, according to National Standard Guidelines. Depends on biological, environmental, and legal/policy factors.",NA,NA,NA,NA
"790",NA,"TMCT","Technical Monitoring and Compliance Team",NA,"technical monitoring and compliance team",NA,NA,NA
"791","PFMC","TMIN",NA,"The minimum time period to rebuild an overfished stock, according to National Standard Guidelines. Technically, this is the minimum amount of time in which a fish stock will have a 50% chance of rebuilding if no fishing occurs (depends on biological and environmental factors).",NA,NA,NA,NA
"792",NA,"TNC","The Nature Conservancy",NA,"the nature conservancy",NA,NA,NA
"793","GMFMC","TOR","Terms of Reference","a list of terms that define certain aspects of a project: what has to be achieved, how and when it will be achieved and who will take part to ensure project completion","terms of reference",NA,NA,NA
"794","GMFMC","TPWD","Texas Parks and Wildlife Department","state agency that oversees and works to conserve Texas wildlife and their habitats as well as state parks, historical areas and aquatic resources.","texas parks and wildlife department",NA,NA,NA
"795","ASMFC","TRAC","Transboundary Resource Assessment Committee","The percent of a fish population removed by fishing over the course of a year.","transboundary resource assessment committee",NA,NA,NA
"796","GMFMC","TRP","target reference point","a type of biological reference point, desired status of the fishery","target reference point",NA,NA,NA
"797","PFMC","TTARGET",NA,"The target year, set by policy, for a fish stock to be completely rebuilt.",NA,NA,NA,NA
"798","GMFMC","TWG","topical working group","an interdisciplinary group made of up individuals with expertise that is relevant to a certain topic","topical working group",NA,NA,NA
"799",NA,"TZCF","Transition Zone Chlorophyll Front",NA,"transition zone chlorophyll front",NA,NA,NA
"800","GMFMC","TnS/TNS","Tails n' Scales","Mississippi's mandatory red snapper electronic reporting program. Voluntary reporting for other reef fish species is available","tails n' scales",NA,NA,NA
"801","PFMC","Total catch OY","Total catch optimum yield","The landed catch plus discard mortality.","total catch optimum yield",NA,NA,NA
"802",NA,"U.S.","United States of America",NA,"united states of america",NA,NA,NA
"803","GMFMC","U.S. Caribbean","U.S. Caribbean","Caribbean islands of Puerto Rico, St. Thomas, St. John, and St. Croix","u.s. caribbean",NA,NA,NA
"804","PFMC","U/A","Usual and accustomed","Usually used when referring to tribal fishing, hunting or gathering areas.","usual and accustomed",NA,NA,NA
"805",NA,"URI","Graduate School of Oceanography",NA,"graduate school of oceanography",NA,NA,NA
"806",NA,"US","United States",NA,"united states",NA,NA,NA
"807",NA,"USACE","United States Army Corps of Engineers",NA,"united states army corps of engineers",NA,NA,NA
"808",NA,"USAF","United States Air Force",NA,"united states air force",NA,NA,NA
"809","PFMC","USCG","U.S. Coast Guard","A representative of the USCG is a non-voting member of the Council.","u.s. coast guard",NA,NA,NA
"810",NA,"USFS","U.S. Forest Service",NA,"u.s. forest service",NA,NA,NA
"811",NA,"USFWS","United States Fish and Wildlife Service",NA,"united states fish and wildlife service",NA,NA,NA
"812",NA,"USGS","U.S. Geological Survey",NA,"u.s. geological survey",NA,NA,NA
"813","GMFMC","USVI","U.S. Virgin Islands","group of Caribbean Islands consisting of the main islands of St. Croix, St. John and St. Thomas","u.s. virgin islands",NA,NA,NA
"814",NA,"V-A","Vietnamese-American",NA,"vietnamese-american",NA,NA,NA
"815",NA,"VA","Virginia",NA,"virginia",NA,NA,NA
"816","GMFMC","VEC","valued environmental component","the fundamental elements that comprise the physical, biological or socio-economic environment including air, water, vegetation, and wildlife, among other components that may be affected by a proposed project.","valued environmental component",NA,NA,NA
"817","GMFMC","VIDPNR","Virgin Islands Department of Planning and Natural Resources","department mandated to protect, manage and maintain the natural and cultural resources of the Virgin Islands through economic development and inter-agency collaboration.","virgin islands department of planning and natural resources",NA,NA,NA
"818","GMFMC","VMS","vessel monitoring system","a general term used for equipment that is used to track a vessel's geographic position through a satellite communication system.","vessel monitoring system",2,"Y","Y"
"819","PFMC","VMS","Vessel Monitoring System","A satellite communications system used to monitor fishing activities. For example, to ensure that vessels stay out of prohibited areas. The system is based on electronic devices (transceivers), which are installed on board vessels. These devices automatically send data to shore-based ""satellite"" monitoring system.","vessel monitoring system",2,"Y","Y"
"820","GMFMC","VOC","volatile organic compound","compounds that have a high vapor pressure and are not very soluble in water. They are emitted as gases from certain solids and liquids.","volatile organic compound",NA,NA,NA
"821","ASMFC","VPA","Virtual Population Analysis","A method of estimating stock size through examination of the sizes, growth, and mortality rates of individual age groups and using that information to ""back calculate"" the virtual populations that must have existed previously to produce the catches currently observed in a fishery.","virtual population analysis",2,"Y","Y"
"822","GMFMC","VPA","virtual population analysis","simulation to reconstruct a population by taking a year class (a group of fish born in the same year) using the number of fish caught each year from a year class and the mortality rate for the size of that year class","virtual population analysis",2,"Y","Y"
"823",NA,"VT","Vermont",NA,"vermont",NA,NA,NA
"824",NA,"VTR","Vessel Trip Report",NA,"vessel trip report",NA,NA,NA
"825",NA,"W","West",NA,"west",NA,NA,NA
"826",NA,"WA","Washington",NA,"washington",NA,NA,NA
"827",NA,"WCNPO","Western and Central North Pacific Ocean",NA,"western and central north pacific ocean",NA,NA,NA
"828",NA,"WCP","West Coast Pelagic Conservation Group",NA,"west coast pelagic conservation group",NA,NA,NA
"829",NA,"WCPFC","Western and Central Pacific Fisheries Commission",NA,"western and central pacific fisheries commission",NA,NA,NA
"830",NA,"WCPFCA","Western and Central Pacific Fisheries Commission Convention Area",NA,"western and central pacific fisheries commission convention area",NA,NA,NA
"831",NA,"WCPO","Western and Central Pacific Ocean",NA,"western and central pacific ocean",NA,NA,NA
"832",NA,"WCSPA","West Coast Seafood Processors Association",NA,"west coast seafood processors association",NA,NA,NA
"833",NA,"WCVI","West Coast Vancouver Island",NA,"west coast vancouver island",NA,NA,NA
"834","PFMC","WDFW","Washington Department of Fish and Wildlife","A representative of WDFW sits on the Council.","washington department of fish and wildlife",NA,NA,NA
"835",NA,"WETS","Wave Energy Test Site",NA,"wave energy test site",NA,NA,NA
"836",NA,"WFOA","Western Fishboat Owners Association",NA,"western fishboat owners association",NA,NA,NA
"837",NA,"WGOA","Western Gulf of Alaska",NA,"western gulf of alaska",NA,NA,NA
"838",NA,"WHAM","Woods Hole Assessment Model",NA,"woods hole assessment model",NA,NA,NA
"839",NA,"WHOI","Woods Hole Oceanographic Institute, MA",NA,"woods hole oceanographic institute, ma",NA,NA,NA
"840",NA,"WPFMC","Western Pacific Regional Fishery Management Council",NA,"western pacific regional fishery management council",NA,NA,NA
"841",NA,"WPUE","Weight per Unit Effort",NA,"weight per unit effort",NA,NA,NA
"842",NA,"WPacFIN","Western Pacific Fishery Information Network, NMFS",NA,"western pacific fishery information network, nmfs",NA,NA,NA
"843",NA,"WSEP","Weapon Systems Evaluation Program",NA,"weapon systems evaluation program",NA,NA,NA
"844",NA,"XBT","Expendable Bathythermographs",NA,"expendable bathythermographs",NA,NA,NA
"845",NA,"YFS","Yellowfin sole",NA,"yellowfin sole",NA,NA,NA
"846","ASMFC","YPR","Yield per recruit","The expected yield in weight for a single fish or year class over the life of the fish or year class.","yield per recruit",NA,NA,NA
"847",NA,"YoY","young of the year or age",NA,"young of the year or age",NA,NA,NA
"848","ASMFC","Z","Total Mortality","The instantaneous rate at which fish die from both natural and fishing related causes. Z = F + M.","total mortality",NA,NA,NA
"849","PFMC","cfs","Cubic feet per second","A measure of running water in a stream or river.","cubic feet per second",NA,NA,NA
"850",NA,"cm","Centimeter",NA,"centimeter",NA,NA,NA
"851",NA,"gw","gutted weight",NA,"gutted weight",NA,NA,NA
"852",NA,"kg","kilogram",NA,"kilogram",NA,NA,NA
"853",NA,"kg/tow","kilograms per tow",NA,"kilograms per tow",NA,NA,NA
"854",NA,"lbs","pounds",NA,"pounds",NA,NA,NA
"855",NA,"m","Meter(s)",NA,"meter(s)",NA,NA,NA
"856",NA,"mm","Millimeter",NA,"millimeter",NA,NA,NA
"857",NA,"mp","million pounds",NA,"million pounds",NA,NA,NA
"858","PFMC","mt","Metric ton","1000 kilos or 2,204.62 pounds. (A ""short ton"" is 2000 lbs.)","metric ton",2,"Y",NA
"859","GMFMC","mt","metric tons","unit of weight often used with commercial fisheries data, equal to 1,000 kg or approximately 2,204.6 pounds","metric tons",2,"Y",NA
"860",NA,"nm","nautical mile",NA,"nautical mile",NA,NA,NA
"861",NA,"ppm","Parts per Million",NA,"parts per million",NA,NA,NA
"862",NA,"ppt","parts per thousand",NA,"parts per thousand",NA,NA,NA
"863",NA,"q","catchability coefficient",NA,"catchability coefficient",NA,NA,NA
"864",NA,"rkm","River-kilometer",NA,"river-kilometer",NA,NA,NA
"865",NA,"ww","whole weight",NA,"whole weight",NA,NA,NA
